0,10,20,30,40,50,60,70,80,90,100
#0.1,0.0,0.00046275642631951836,0.001086906917816033,0.001221361860609199,0.002223830139962102,0.0026735692823059076,0.0024472682952526624,0.002768142841446188,0.0037570127725580003,0.0041093536977643615
#0.2,0.0012041199826559248,0.0023137821315975917,0.006029268826005328,0.00901928758603716,0.008363769099441727,0.00990423936042932,0.012528822085611251,0.012388405594337869,0.01571400828474973,0.017371490548468815
#0.30000000000000004,0.004214419939295736,0.011193486492362053,0.016883015164797403,0.018474705290220016,0.021569052862760188,0.025255751046321204,0.02731982090444689,0.03011846479526513,0.033531700914709923,0.036849892949468666
#0.4,0.011439139835231286,0.02270568345857747,0.024847672905673517,0.03121748655623744,0.03801773296351839,0.04513033512055724,0.04794914504130054,0.053967576658613466,0.0572454537869078,0.06072851124566331
#0.5,0.018663859731166844,0.029878408066529985,0.04122186448523369,0.04735493330899426,0.056756587472807374,0.06685073099088258,0.07560565740144345,0.07962941563159238,0.08754943416389233,0.09572568507064348
#0.6000000000000001,0.027092699609758332,0.0411025131278131,0.060042924694858016,0.07379964305579113,0.08688487154089225,0.09537289433624925,0.10683221998760102,0.11605599501157891,0.12302248455228351,0.1313422927946672
#0.7000000000000001,0.03755496324383676,0.05952769964293509,0.08423058781119902,0.09792228201882462,0.1124242275527757,0.12700319041479838,0.13978264499000764,0.15169722199558383,0.16416422176398057,0.1704347251045517
#0.8,0.04718792310508414,0.08226400167043357,0.10516774540033741,0.12808787184923467,0.1436197394852099,0.1668014922132499,0.1785423308561283,0.19192113281098458,0.20324997106348888,0.21191416707841512
#0.9,0.058627062940315416,0.09985100759361004,0.13055264073360762,0.16101751306664147,0.17540456790747963,0.20460118625989757,0.21967883181299303,0.23516355586407464,0.249297915364066,0.2591224944406899
#1.0,0.07804644023015234,0.1219192701044808,0.163995093135626,0.19305104346632068,0.22199787283445402,0.24480290055747694,0.26407478689578157,0.2787877275987388,0.29476074167688143,0.3045072893800489
