0,10,20,30,40,50,60,70,80,90,100
#0.1,0.0,0.0,0.00027172672945400823,0.0005637054741273228,0.0006378617524880085,0.0005643126919959382,0.0006059902445387543,0.0007021152105685176,0.0007530806406652884,0.0009632959861247399
#0.2,0.0,0.00023137821315975918,0.0005434534589080165,0.0020669200718001824,0.0022679528977351433,0.0035551699595744116,0.0031873895276656127,0.003099427997862974,0.0037444271264053313,0.0037066525143260327
#0.30000000000000004,0.0024082399653118495,0.0030079167710768697,0.004075900941810124,0.00602529103266685,0.004208288925480352,0.006405500670054501,0.007913517642026717,0.008685724630243731,0.008361743177218163,0.009185986949312523
#0.4,0.004214419939295736,0.005090320689514701,0.00670858564964035,0.006612025049595416,0.009612741834136556,0.012987211152382579,0.01203891276830977,0.014524989726664342,0.01504583577447631,0.016728259625450322
#0.5,0.005418539921951662,0.009486506739550133,0.011379220828375648,0.013612286390584467,0.015203757345717654,0.020138580484357235,0.02032580314214974,0.022116896553938892,0.023545171919680977,0.024673527741977477
#0.6000000000000001,0.004214419939295736,0.013044512197640126,0.015183395040731774,0.016819050052614703,0.023053346972244582,0.025136524119147814,0.026164128460167767,0.03111678018729927,0.03321741961000233,0.037157015514833025
#0.7000000000000001,0.011064323625406386,0.014288735524132522,0.0211447321843736,0.026555402123286432,0.02884493988363151,0.03299273270021683,0.039836039919173304,0.041257905842807814,0.0464497879963875,0.04708404353406273
#0.8,0.01023501985257536,0.02212723792567807,0.02469515863660015,0.030772597278415515,0.03971139722116061,0.04551474669033073,0.049940396063454386,0.05552668640254588,0.0608396617031518,0.06229521212092187
#0.9,0.017459739748510922,0.023487150358750344,0.03228685615696605,0.039214828377775166,0.04969529264862281,0.05393102503754622,0.061016313711412404,0.06847340101089963,0.07348007687784057,0.07876906753481287
#1.0,0.015653559774527027,0.0349426336331932,0.0414436385016486,0.05344146918096332,0.05927398329681907,0.06697152776508017,0.07339348062094712,0.0807192018904933,0.08860658497130239,0.09392325730629451
