0,10,20,30,40,50,60,70,80,90,100
#0.1,0.0,0.00023137821315975918,0.00027172672945400823,0.0002818527370636614,0.0003543676402711159,0.0007336064995947195,0.0005127609761481768,0.0007908979546989114,0.0006503878260291128,0.0009030899869919436
#0.2,0.0,0.0016196474921183143,0.0016303603767240495,0.0014092636853183062,0.003216059532721227,0.00246914383543253,0.0028610870882985902,0.002293604068626841,0.003765403203326446,0.004357850572662655
#0.30000000000000004,0.0036123599479677745,0.0016196474921183143,0.003396584118175103,0.003887448591313359,0.0055375139710187316,0.005269407665487225,0.0077793866541525205,0.006703246717619737,0.009243691747532373,0.009920115384932246
#0.4,0.0024082399653118495,0.004339472358262882,0.0063009955554593385,0.008584994209041049,0.01112783669355643,0.010871038557397808,0.01114797746213857,0.013728858746088706,0.014938947744455915,0.01608075087782174
#0.5,0.0036123599479677745,0.007404102821112297,0.00706489496580422,0.010792840649373065,0.016037560483919865,0.01690281997298013,0.019593217457452298,0.02143494034378432,0.02451789687361697,0.0249708684269334
#0.6000000000000001,0.007826779887263512,0.008329615673751335,0.015473100739510215,0.018027979271248485,0.02244895037125957,0.026335412781688907,0.027941653132551373,0.03045382332291924,0.03251182476884006,0.03582560273996069
#0.7000000000000001,0.009258143651422497,0.012725801723786758,0.02085635455057324,0.028071049362934686,0.029326346994086733,0.03360923373556291,0.040051133243696385,0.0415936509220084,0.045735751163451924,0.04845340391703618
#0.8,0.009632959861247398,0.01871327842005422,0.025747435680745393,0.0298446024262706,0.03928279886222437,0.04461286461426075,0.04691044484076064,0.053667630092199034,0.05539849708878835,0.06349879626788413
#0.9,0.01384737980054314,0.020361282758058808,0.03075905733627628,0.03980431750642807,0.050666792863279214,0.05369091633549765,0.061128623876049615,0.06738162242900844,0.0717144704928437,0.07784036944625063
#1.0,0.014449439791871101,0.02912755973527817,0.042579170067525644,0.05032328772319616,0.056511194526185096,0.06746723202622867,0.07588788942282959,0.07995062128780223,0.08658724266335524,0.09358407979951014
